Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours)
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:49,-167767.18775136975,2.0491258952334954,195.2987801619178,2456.8327103059737,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:50,-168202.74210013324,2.006131624814834,195.16897324625438,2461.1835213801205,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:51,-168635.7807103616,1.9631111168176207,195.03963808776314,2465.5455807054004,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:52,-169066.31460552997,1.9200651812735978,194.91077321058165,2469.918823261601,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:53,-169494.3548260679,1.8769946182649508,194.78237713164873,2474.303184322377,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:54,-169919.9124263339,1.8339002181493025,194.65444836138764,2478.6985994400598,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:55,-170342.99847490632,1.79078276143219,194.52698540341237,2483.105004466402,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:56,-170763.62405064228,1.7476430191016603,194.39998675549285,2487.5223355260987,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:57,-171181.80024287355,1.7044817525094675,194.2734509093038,2491.9505290366897,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:58,-171597.5381496405,1.6612997135038936,194.147376350738,2496.3895217027252,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:59,-172010.84887622745,1.6180976444788029,194.02176156016546,2500.8392505183865,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:00,-172421.7435335073,1.5748762784982795,193.89660501272715,2505.2996527625683,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:01,-172830.2332368141,1.5316363393201988,193.7719051784993,2509.7706660041154,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:02,-173236.32910427134,1.488378541529216,193.64766052280183,2514.2522280958487,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:03,-173640.04225627362,1.445103590509512,193.5238695061804,2518.7442771851797,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:04,-174041.38381315378,1.4018121826379621,193.4005305849347,2523.246751701873,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:05,-174440.36489424217,1.358505005310553,193.27764221123815,2527.7595903630177,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:06,-174836.99661768865,1.3151827369241,193.1552028330055,2532.282732182698,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:07,-175231.29009710686,1.2718460471612547,193.03321089476844,2536.816116450037,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:08,-175623.25644259944,1.2284955968355051,192.91166483718672,2541.3596827531287,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:09,-176012.90675797447,1.185132038145812,192.79056309774347,2545.9133709600937,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:10,-176400.2521405251,1.1417560146320063,192.6699041106643,2550.477121231537,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:11,-176785.30367943528,1.0983681613260272,192.5496863072436,2555.0508740122687,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:12,-177168.07245464923,1.0549691048045153,192.42990811605827,2559.634570033532,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:13,-177548.56953658472,1.0115594632069445,192.31056796289,2564.228150318774,286.7598810322222
